arm,representation,target,readout,population,rows,sources,mse,rmse
A-observed,descriptor,future_order_3,residual,T510,192,3,0.5302049485441342,0.7281517345609596
A-observed,descriptor,future_order_3,residual,T520,192,3,0.637112947778312,0.7981935528293322
A-observed,descriptor,future_order_9,ridge,all,960,15,0.56694166594634,0.7529552881455446
A-observed,descriptor,future_order_9,ridge,PTM_other,686,15,0.6984126591241397,0.8357108705312739
A-observed,descriptor,future_order_9,ridge,PTM_crystalline,274,13,0.26588718938477807,0.515642501530642
A-observed,descriptor,future_order_9,ridge,T400,192,3,0.662570150340427,0.8139841216758635
A-observed,descriptor,future_order_9,ridge,T450,192,3,0.5352668087232993,0.7316193058710926
A-observed,descriptor,future_order_9,ridge,T500,192,3,0.47414232051303246,0.6885799303733972
A-observed,descriptor,future_order_9,ridge,T510,192,3,0.5190239398044932,0.7204331612332218
A-observed,descriptor,future_order_9,ridge,T520,192,3,0.6437051103504474,0.8023123521113503
A-observed,descriptor,future_order_9,residual,all,960,15,0.56694166594634,0.7529552881455446
A-observed,descriptor,future_order_9,residual,PTM_other,686,15,0.6984126591241397,0.8357108705312739
A-observed,descriptor,future_order_9,residual,PTM_crystalline,274,13,0.26588718938477807,0.515642501530642
A-observed,descriptor,future_order_9,residual,T400,192,3,0.662570150340427,0.8139841216758635
A-observed,descriptor,future_order_9,residual,T450,192,3,0.5352668087232993,0.7316193058710926
A-observed,descriptor,future_order_9,residual,T500,192,3,0.47414232051303246,0.6885799303733972
A-observed,descriptor,future_order_9,residual,T510,192,3,0.5190239398044932,0.7204331612332218
A-observed,descriptor,future_order_9,residual,T520,192,3,0.6437051103504474,0.8023123521113503
A-observed,descriptor,observed_angular,ridge,all,960,15,0.7133781461641466,0.8446171595250399
A-observed,descriptor,observed_angular,ridge,PTM_other,686,15,0.8881320309059622,0.9424075715453278
A-observed,descriptor,observed_angular,ridge,PTM_crystalline,274,13,0.3722391057845759,0.6101140104804805
A-observed,descriptor,observed_angular,ridge,T400,192,3,0.8453612051877453,0.9194352642724475
A-observed,descriptor,observed_angular,ridge,T450,192,3,0.650900305573128,0.806783927438523
A-observed,descriptor,observed_angular,ridge,T500,192,3,0.600840090510939,0.7751387556501991
A-observed,descriptor,observed_angular,ridge,T510,192,3,0.70243540541801,0.8381141959291765
A-observed,descriptor,observed_angular,ridge,T520,192,3,0.7673537241309106,0.8759872853705758
A-observed,descriptor,observed_angular,residual,all,960,15,0.7133781461641466,0.8446171595250399
A-observed,descriptor,observed_angular,residual,PTM_other,686,15,0.8881320309059622,0.9424075715453278
A-observed,descriptor,observed_angular,residual,PTM_crystalline,274,13,0.3722391057845759,0.6101140104804805
A-observed,descriptor,observed_angular,residual,T400,192,3,0.8453612051877453,0.9194352642724475
A-observed,descriptor,observed_angular,residual,T450,192,3,0.650900305573128,0.806783927438523
A-observed,descriptor,observed_angular,residual,T500,192,3,0.600840090510939,0.7751387556501991
A-observed,descriptor,observed_angular,residual,T510,192,3,0.70243540541801,0.8381141959291765
A-observed,descriptor,observed_angular,residual,T520,192,3,0.7673537241309106,0.8759872853705758
A-observed,descriptor,observed_l6,ridge,all,960,15,0.28945835281692966,0.5380133388838325
A-observed,descriptor,observed_l6,ridge,PTM_other,686,15,0.3373817516150453,0.5808457210094995
A-observed,descriptor,observed_l6,ridge,PTM_crystalline,274,13,0.1679230306177566,0.4097841268494384
A-observed,descriptor,observed_l6,ridge,T400,192,3,0.3464128162553269,0.5885684465338988
A-observed,descriptor,observed_l6,ridge,T450,192,3,0.2682909653312927,0.5179681122726502
A-observed,descriptor,observed_l6,ridge,T500,192,3,0.2629653500659505,0.5128014723710829
A-observed,descriptor,observed_l6,ridge,T510,192,3,0.2633567305133724,0.5131829405907531
A-observed,descriptor,observed_l6,ridge,T520,192,3,0.3062659019187057,0.5534129578521862
A-observed,descriptor,observed_l6,residual,all,960,15,0.2915790454983755,0.5399805973351037
A-observed,descriptor,observed_l6,residual,PTM_other,686,15,0.3437254625046307,0.5862810439581265
A-observed,descriptor,observed_l6,residual,PTM_crystalline,274,13,0.1609226719873004,0.40115168201978213
A-observed,descriptor,observed_l6,residual,T400,192,3,0.3439220940869957,0.5864487139443616
A-observed,descriptor,observed_l6,residual,T450,192,3,0.27714038150491555,0.5264412422150411
A-observed,descriptor,observed_l6,residual,T500,192,3,0.26917524726195224,0.5188210165962365
A-observed,descriptor,observed_l6,residual,T510,192,3,0.26406072260407654,0.5138683903530908
A-observed,descriptor,observed_l6,residual,T520,192,3,0.3035967820339376,0.5509961724312952
A-observed,descriptor,observed_radial,ridge,all,960,15,1.4561350526039205e-13,3.8159337685603514e-07
A-observed,descriptor,observed_radial,ridge,PTM_other,686,15,1.576474969135323e-13,3.9704848181743785e-07
A-observed,descriptor,observed_radial,ridge,PTM_crystalline,274,13,1.63458489472524e-13,4.0429999934766757e-07
A-observed,descriptor,observed_radial,ridge,T400,192,3,1.3761723207767573e-13,3.7096796637671523e-07
A-observed,descriptor,observed_radial,ridge,T450,192,3,1.336499672828236e-13,3.6558168346188186e-07
A-observed,descriptor,observed_radial,ridge,T500,192,3,1.425480439588104e-13,3.7755535217873737e-07
A-observed,descriptor,observed_radial,ridge,T510,192,3,1.5802173582860504e-13,3.9751947855244155e-07
A-observed,descriptor,observed_radial,ridge,T520,192,3,1.5623054715404534e-13,3.9526010063506957e-07
A-observed,descriptor,observed_radial,residual,all,960,15,1.4561350526039205e-13,3.8159337685603514e-07
A-observed,descriptor,observed_radial,residual,PTM_other,686,15,1.576474969135323e-13,3.9704848181743785e-07
A-observed,descriptor,observed_radial,residual,PTM_crystalline,274,13,1.63458489472524e-13,4.0429999934766757e-07
A-observed,descriptor,observed_radial,residual,T400,192,3,1.3761723207767573e-13,3.7096796637671523e-07
A-observed,descriptor,observed_radial,residual,T450,192,3,1.336499672828236e-13,3.6558168346188186e-07
A-observed,descriptor,observed_radial,residual,T500,192,3,1.425480439588104e-13,3.7755535217873737e-07
A-observed,descriptor,observed_radial,residual,T510,192,3,1.5802173582860504e-13,3.9751947855244155e-07
A-observed,descriptor,observed_radial,residual,T520,192,3,1.5623054715404534e-13,3.9526010063506957e-07
A-observed,descriptor,relaxed_angular,ridge,all,960,15,0.7926899414923776,0.8903313661173449
A-observed,descriptor,relaxed_angular,ridge,PTM_other,686,15,1.006772176886186,1.0033803749756052
