contrast,arm,representation,target,readout,reference_arm,reference_representation,reference,candidate,change_percent,ci95_lower,ci95_upper,roots,roots_improved
relaxed_teacher,C-relaxed-teacher,exported,future_order_9,ridge,A-observed,exported,0.5552080874349551,0.5542542797530384,-0.17179282930175344,-0.30787132912937526,-0.03272288228380886,15,12
persistence,C-relaxed-teacher,exported,future_order_9,ridge,C-relaxed-teacher,persistence,0.8820290234427766,0.5542542797530384,-37.16144650324006,-39.420258574886994,-34.336839617032766,15,15
training,C-relaxed-teacher,exported,future_order_9,residual,C-relaxed-teacher,initial_exported,0.552979767413975,0.5559178126291653,0.5313115213835262,-0.670396649139875,1.534598834903044,15,6
relaxed_teacher,C-relaxed-teacher,exported,future_order_9,residual,A-observed,exported,0.5557496757950556,0.5559178126291653,0.030254058874468193,-0.5401250542904259,0.6260794672981101,15,8
persistence,C-relaxed-teacher,exported,future_order_9,residual,C-relaxed-teacher,persistence,0.8820290234427766,0.5559178126291653,-36.97284353985528,-39.379705027831584,-33.96018289035511,15,15
training,C-relaxed-teacher,exported,hazard,linear,C-relaxed-teacher,initial_exported,0.20993050672113894,0.20034227644403776,-4.567335365811176,-9.334619351971673,1.14724893498674,15,9
relaxed_teacher,C-relaxed-teacher,exported,hazard,linear,A-observed,exported,0.20008071598907312,0.20034227644403776,0.13072746849773775,-0.7565719447523702,1.171682398435457,15,10
training,C-relaxed-teacher,exported,hazard,mlp,C-relaxed-teacher,initial_exported,0.19558305988709132,0.19558695430556933,0.0019911839400865716,-0.013702078251727756,0.018164021239919226,15,5
relaxed_teacher,C-relaxed-teacher,exported,hazard,mlp,A-observed,exported,0.19558486541112263,0.19558695430556933,0.0010680245847716208,-0.0013703916549434592,0.0032074598624220975,15,9
training,C-relaxed-teacher,exported,observed_angular,ridge,C-relaxed-teacher,initial_exported,0.9084252185746845,0.9359499518046939,3.0299393573854694,1.374608617695889,4.859749270010727,15,3
relaxed_teacher,C-relaxed-teacher,exported,observed_angular,ridge,A-observed,exported,0.9260341333551163,0.9359499518046939,1.0707832565147068,0.34352438820232034,1.7673023163974364,15,3
training,C-relaxed-teacher,exported,observed_angular,residual,C-relaxed-teacher,initial_exported,0.9094195141127109,0.9363106424061927,2.9569552748951677,1.3254036868046077,4.74218715756693,15,2
relaxed_teacher,C-relaxed-teacher,exported,observed_angular,residual,A-observed,exported,0.9268554554768935,0.9363106424061927,1.0201360819993344,0.2905776825063894,1.7083269477601344,15,2
training,C-relaxed-teacher,exported,observed_l6,ridge,C-relaxed-teacher,initial_exported,0.26204176380424354,0.27228724838764484,3.909867051213678,2.0027773485276437,5.85608511059899,15,3
relaxed_teacher,C-relaxed-teacher,exported,observed_l6,ridge,A-observed,exported,0.271597967440777,0.27228724838764484,0.25378722578921487,-0.6585893216100297,1.1021352858105224,15,8
training,C-relaxed-teacher,exported,observed_l6,residual,C-relaxed-teacher,initial_exported,0.26204176380424354,0.27228724838764484,3.909867051213678,2.0027773485276437,5.85608511059899,15,3
relaxed_teacher,C-relaxed-teacher,exported,observed_l6,residual,A-observed,exported,0.271597967440777,0.27228724838764484,0.25378722578921487,-0.6585893216100297,1.1021352858105224,15,8
