arm,checkpoint,domain,block,population,rows,sources,mse
C-relaxed-teacher,last,observed,block_mean,PTM_other,686,15,0.6558986180654518
C-relaxed-teacher,last,observed,block_mean,PTM_crystalline,274,13,0.2643759964660363
C-relaxed-teacher,last,observed,block_mean,T400,192,3,0.5601840894669294
C-relaxed-teacher,last,observed,block_mean,T450,192,3,0.47982607855616755
C-relaxed-teacher,last,observed,block_mean,T500,192,3,0.5131132276146673
C-relaxed-teacher,last,observed,block_mean,T510,192,3,0.4457920689407426
C-relaxed-teacher,last,observed,block_mean,T520,192,3,0.6333642926765606
C-relaxed-teacher,constant,observed,radial,all,960,15,0.977641144581139
C-relaxed-teacher,constant,observed,radial,PTM_other,686,15,1.1234027234651516
C-relaxed-teacher,constant,observed,radial,PTM_crystalline,274,13,0.7069658751506812
C-relaxed-teacher,constant,observed,radial,T400,192,3,0.9510382709559053
C-relaxed-teacher,constant,observed,radial,T450,192,3,0.9211531563196331
C-relaxed-teacher,constant,observed,radial,T500,192,3,1.0718741321470588
C-relaxed-teacher,constant,observed,radial,T510,192,3,0.9085881414357572
C-relaxed-teacher,constant,observed,radial,T520,192,3,1.0355520220473409
C-relaxed-teacher,constant,observed,l2,all,960,15,0.9589257089809204
C-relaxed-teacher,constant,observed,l2,PTM_other,686,15,1.2170788315380492
C-relaxed-teacher,constant,observed,l2,PTM_crystalline,274,13,0.3580430820293406
C-relaxed-teacher,constant,observed,l2,T400,192,3,0.981817600938181
C-relaxed-teacher,constant,observed,l2,T450,192,3,0.8688732167550672
C-relaxed-teacher,constant,observed,l2,T500,192,3,0.9358642694229881
C-relaxed-teacher,constant,observed,l2,T510,192,3,0.8043087776750326
C-relaxed-teacher,constant,observed,l2,T520,192,3,1.2037646801133328
C-relaxed-teacher,constant,observed,l4,all,960,15,0.8252663902317484
C-relaxed-teacher,constant,observed,l4,PTM_other,686,15,0.9099578621687348
C-relaxed-teacher,constant,observed,l4,PTM_crystalline,274,13,0.6512327497071868
C-relaxed-teacher,constant,observed,l4,T400,192,3,0.8166963357167939
C-relaxed-teacher,constant,observed,l4,T450,192,3,0.7727697832354654
C-relaxed-teacher,constant,observed,l4,T500,192,3,0.8216326684535791
C-relaxed-teacher,constant,observed,l4,T510,192,3,0.7298057459605236
C-relaxed-teacher,constant,observed,l4,T520,192,3,0.9854274177923799
D-physical-distance,initial,relaxed,radial,all,960,15,0.22741581662752047
D-physical-distance,initial,relaxed,radial,PTM_other,686,15,0.28284523865713446
D-physical-distance,initial,relaxed,radial,PTM_crystalline,274,13,0.12242284659105877
D-physical-distance,initial,relaxed,radial,T400,192,3,0.26979255793654977
D-physical-distance,initial,relaxed,radial,T450,192,3,0.229094712887066
D-physical-distance,initial,relaxed,radial,T500,192,3,0.2144718775137638
D-physical-distance,initial,relaxed,radial,T510,192,3,0.19938630416315087
D-physical-distance,initial,relaxed,radial,T520,192,3,0.2243336306370717
D-physical-distance,initial,relaxed,l2,all,960,15,0.8194123976091456
D-physical-distance,initial,relaxed,l2,PTM_other,686,15,1.140398326382173
D-physical-distance,initial,relaxed,l2,PTM_crystalline,274,13,0.1015470919426846
D-physical-distance,initial,relaxed,l2,T400,192,3,0.8957856433310857
D-physical-distance,initial,relaxed,l2,T450,192,3,0.7759669529532403
D-physical-distance,initial,relaxed,l2,T500,192,3,0.7758437962699342
D-physical-distance,initial,relaxed,l2,T510,192,3,0.658084851405268
D-physical-distance,initial,relaxed,l2,T520,192,3,0.9913807440862001
D-physical-distance,initial,relaxed,l4,all,960,15,0.4670019193339006
D-physical-distance,initial,relaxed,l4,PTM_other,686,15,0.5817687294106176
D-physical-distance,initial,relaxed,l4,PTM_crystalline,274,13,0.2181698239614327
D-physical-distance,initial,relaxed,l4,T400,192,3,0.5204718024857963
D-physical-distance,initial,relaxed,l4,T450,192,3,0.4512368859092627
D-physical-distance,initial,relaxed,l4,T500,192,3,0.41942468746371253
D-physical-distance,initial,relaxed,l4,T510,192,3,0.385773863774375
D-physical-distance,initial,relaxed,l4,T520,192,3,0.5581023570363564
D-physical-distance,initial,relaxed,block_mean,all,960,15,0.5046100589262399
D-physical-distance,initial,relaxed,block_mean,PTM_other,686,15,0.6683374513023682
D-physical-distance,initial,relaxed,block_mean,PTM_crystalline,274,13,0.14737991972169073
D-physical-distance,initial,relaxed,block_mean,T400,192,3,0.5620166753263522
D-physical-distance,initial,relaxed,block_mean,T450,192,3,0.48543286302689614
D-physical-distance,initial,relaxed,block_mean,T500,192,3,0.46991347179816023
D-physical-distance,initial,relaxed,block_mean,T510,192,3,0.4144150189604261
D-physical-distance,initial,relaxed,block_mean,T520,192,3,0.5912722655193647
D-physical-distance,last,relaxed,radial,all,960,15,0.17903414393476852
D-physical-distance,last,relaxed,radial,PTM_other,686,15,0.2269258336348794
D-physical-distance,last,relaxed,radial,PTM_crystalline,274,13,0.08737517260432859
D-physical-distance,last,relaxed,radial,T400,192,3,0.23193023542019847
D-physical-distance,last,relaxed,radial,T450,192,3,0.17396169557014218
D-physical-distance,last,relaxed,radial,T500,192,3,0.16101374533597362
D-physical-distance,last,relaxed,radial,T510,192,3,0.1488560726217353
D-physical-distance,last,relaxed,radial,T520,192,3,0.17940897072579295
D-physical-distance,last,relaxed,l2,all,960,15,0.7856199344680136
D-physical-distance,last,relaxed,l2,PTM_other,686,15,1.095585249230701
D-physical-distance,last,relaxed,l2,PTM_crystalline,274,13,0.10145283172292172
D-physical-distance,last,relaxed,l2,T400,192,3,0.8636200493977715
