domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,population,standardized_rmse
paired_relaxed,10000,observed,relaxed,exported,rich,300,0.5816721814206599,0.5816059079453592,residual,liquid,0.7326873441220966
paired_relaxed,10000,observed,relaxed,pooled,angular,300,0.7941157744814068,0.783169599349827,ridge,all,0.9100841929341336
paired_relaxed,10000,observed,relaxed,pooled,angular,300,0.7941157744814068,0.783169599349827,ridge,liquid,0.9100841929341336
paired_relaxed,10000,observed,relaxed,pooled,angular,300,0.7941157744814068,0.783169599349827,residual,all,0.9132796201268522
paired_relaxed,10000,observed,relaxed,pooled,angular,300,0.7941157744814068,0.783169599349827,residual,liquid,0.9132796201268522
paired_relaxed,10000,observed,relaxed,pooled,radial,0,0.506141900695371,0.506141900695371,ridge,all,0.7180135102104772
paired_relaxed,10000,observed,relaxed,pooled,radial,0,0.506141900695371,0.506141900695371,ridge,liquid,0.7180135102104772
paired_relaxed,10000,observed,relaxed,pooled,radial,0,0.506141900695371,0.506141900695371,residual,all,0.7180135102104772
paired_relaxed,10000,observed,relaxed,pooled,radial,0,0.506141900695371,0.506141900695371,residual,liquid,0.7180135102104772
paired_relaxed,10000,observed,relaxed,pooled,rich,0,0.5579577554703768,0.5579577554703768,ridge,all,0.7237133417069703
paired_relaxed,10000,observed,relaxed,pooled,rich,0,0.5579577554703768,0.5579577554703768,ridge,liquid,0.7237133417069703
paired_relaxed,10000,observed,relaxed,pooled,rich,0,0.5579577554703768,0.5579577554703768,residual,all,0.7237133417069703
paired_relaxed,10000,observed,relaxed,pooled,rich,0,0.5579577554703768,0.5579577554703768,residual,liquid,0.7237133417069703
paired_relaxed,10000,relaxed,relaxed,exported,angular,800,0.7204243064774885,0.7173542096552016,ridge,all,0.858128738342211
paired_relaxed,10000,relaxed,relaxed,exported,angular,800,0.7204243064774885,0.7173542096552016,ridge,liquid,0.858128738342211
paired_relaxed,10000,relaxed,relaxed,exported,angular,800,0.7204243064774885,0.7173542096552016,residual,all,0.8631041059420004
paired_relaxed,10000,relaxed,relaxed,exported,angular,800,0.7204243064774885,0.7173542096552016,residual,liquid,0.8631041059420004
paired_relaxed,10000,relaxed,relaxed,exported,radial,5000,0.06944571592573993,0.06923119565036198,ridge,all,0.26358597477636897
paired_relaxed,10000,relaxed,relaxed,exported,radial,5000,0.06944571592573993,0.06923119565036198,ridge,liquid,0.26358597477636897
paired_relaxed,10000,relaxed,relaxed,exported,radial,5000,0.06944571592573993,0.06923119565036198,residual,all,0.26371867626907575
paired_relaxed,10000,relaxed,relaxed,exported,radial,5000,0.06944571592573993,0.06923119565036198,residual,liquid,0.26371867626907575
paired_relaxed,10000,relaxed,relaxed,exported,rich,1000,0.33585950083942945,0.3352182890971155,ridge,all,0.5456702739657653
paired_relaxed,10000,relaxed,relaxed,exported,rich,1000,0.33585950083942945,0.3352182890971155,ridge,liquid,0.5456702739657653
paired_relaxed,10000,relaxed,relaxed,exported,rich,1000,0.33585950083942945,0.3352182890971155,residual,all,0.5456488560792826
paired_relaxed,10000,relaxed,relaxed,exported,rich,1000,0.33585950083942945,0.3352182890971155,residual,liquid,0.5456488560792826
paired_relaxed,10000,relaxed,relaxed,pooled,angular,0,0.7128753057401769,0.7128753057401769,ridge,all,0.8515400381646224
paired_relaxed,10000,relaxed,relaxed,pooled,angular,0,0.7128753057401769,0.7128753057401769,ridge,liquid,0.8515400381646224
paired_relaxed,10000,relaxed,relaxed,pooled,angular,0,0.7128753057401769,0.7128753057401769,residual,all,0.8515400381646224
paired_relaxed,10000,relaxed,relaxed,pooled,angular,0,0.7128753057401769,0.7128753057401769,residual,liquid,0.8515400381646224
paired_relaxed,10000,relaxed,relaxed,pooled,radial,100,0.052641657449848396,0.051622620709252824,ridge,all,0.2324054941177845
paired_relaxed,10000,relaxed,relaxed,pooled,radial,100,0.052641657449848396,0.051622620709252824,ridge,liquid,0.2324054941177845
paired_relaxed,10000,relaxed,relaxed,pooled,radial,100,0.052641657449848396,0.051622620709252824,residual,all,0.23042131202433005
paired_relaxed,10000,relaxed,relaxed,pooled,radial,100,0.052641657449848396,0.051622620709252824,residual,liquid,0.23042131202433005
