source,temperature_K,frame,field,distance_lo_A,distance_hi_A,pairs,distance_mean_A,p1,p2,shuffle_p1,shuffle_p2,excess_p1,excess_p2,overlap80,valid_centers,centers
1009,520.0,512,block1/ideal_bivector,0,4,1249,3.0175216979725468,0.17737727567455433,0.0510078993199368,-0.00013795725991463972,0.00399513173593681,0.17751523293446894,0.047012767584,0.6827061649319456,318,320
1009,520.0,512,block1/ideal_bivector,4,8,6351,6.281705749439886,-0.02343744379769069,0.005504969492364934,-0.0022379677268536484,0.003643025038855866,-0.021199476070837043,0.0018619444535090688,0.36873917493308145,318,320
1009,520.0,512,block1/ideal_bivector,8,12,6421,9.928974503693723,-0.015235495590982813,0.004050307032531747,-0.0027216880219821087,0.0034444467280982274,-0.01251380756900071,0.0006058603044335181,0.11381015418159166,318,320
1009,520.0,512,block1/ideal_bivector,12,18,2239,13.329388647469768,0.0020929443919002356,0.017427453966131483,-0.0027637143974253726,0.0034823370282701083,0.004856658789325593,0.013945116937861376,0.00648168825368468,318,320
1009,520.0,512,block1/ideal_bivector,18,26,683,22.724872865695296,0.04911578381755437,-0.0015829165991886585,-0.001852281955977407,0.00389643602024202,0.05096806577353176,-0.00547935261943068,0.0,318,320
1009,520.0,512,block1/ideal_bivector,26,40,4129,34.14486823644616,-0.00040751264450968755,-0.012518305340086792,-0.002261575993836011,0.003463052544825293,0.0018540633493263111,-0.01598135788491208,0.0,318,320
1009,520.0,512,block1/ideal_bivector,40,80,29249,53.00812316886765,-0.0049950364199000934,0.002284830240657386,-0.003494599052653843,0.003657242258629185,-0.00150043736724626,-0.0013724120179718009,0.0,318,320
1009,520.0,512,block1/axial_bivector,0,4,1254,3.0161229655839517,-0.06219336578978874,-0.023787654505315736,-0.003401310895665521,-0.001712569247730875,-0.058792054894123216,-0.022075085257584857,0.682914673046252,319,320
1009,520.0,512,block1/axial_bivector,4,8,6393,6.282707767334726,0.026341363175506845,0.0034855270018572864,-0.0028858954815308697,-0.0010377473103965898,0.02922725865703772,0.004523274312253874,0.3687705302674801,319,320
1009,520.0,512,block1/axial_bivector,8,12,6465,9.93165283063915,-0.002357132827170681,-0.008964028874832556,-0.0027391440743709202,-0.0006364000497778251,0.0003820112472002459,-0.008327628825054733,0.11382443928847641,319,320
