field,phase,distance_lo_A,distance_hi_A,metric,sources,mean,low,high
block1/point_numerator,FCC,26,40,excess_p1,10,-0.00918298758537254,-0.018717845109238268,0.0006767760126173408
block1/point_numerator,FCC,26,40,excess_p2,10,-0.00680309056162109,-0.010596035657638163,-0.003123017846004454
block1/point_numerator,FCC,40,80,p1,10,0.02138231674071495,0.010930430361474428,0.031834203119955475
block1/point_numerator,FCC,40,80,p2,10,-0.013467984580973934,-0.031121248572830572,0.0038881177181630477
block1/point_numerator,FCC,40,80,shuffle_p1,10,0.02228508070940382,0.01168788655773638,0.032763468369451786
block1/point_numerator,FCC,40,80,shuffle_p2,10,-0.015723229227690056,-0.03468958871078921,0.0029008181491624405
block1/point_numerator,FCC,40,80,excess_p1,10,-0.0009027639686888727,-0.006112060174528784,0.004309997529732509
block1/point_numerator,FCC,40,80,excess_p2,10,0.0022552446467161156,-0.0008510517094189344,0.0054391380799850425
block1/point_numerator,HCP,40,80,p1,10,-0.07305384342055002,-0.10917095948055329,-0.03693672736054675
block1/point_numerator,HCP,40,80,p2,10,-0.06667082596551197,-0.11549561079883493,-0.01797930943633868
block1/point_numerator,HCP,40,80,shuffle_p1,10,-0.04714902744331269,-0.07308899170050119,-0.0212090631861242
block1/point_numerator,HCP,40,80,shuffle_p2,10,-0.05529587123545129,-0.09818122232205084,-0.012917812678265837
block1/point_numerator,HCP,40,80,excess_p1,10,-0.025904815977237327,-0.06167278561864929,0.009863153664174637
block1/point_numerator,HCP,40,80,excess_p2,10,-0.011374954730060663,-0.025271116059935157,0.0023628157468709074
block2_mlp_input/point_numerator,FCC,0,4,p1,10,0.0700806697092943,0.04964368735266446,0.09333799967800799
block2_mlp_input/point_numerator,FCC,0,4,p2,10,0.010182601313828985,0.006029580035249967,0.014492705402057505
block2_mlp_input/point_numerator,FCC,0,4,shuffle_p1,10,0.006691468492452203,0.0012428929710586011,0.012140044013845806
block2_mlp_input/point_numerator,FCC,0,4,shuffle_p2,10,0.001791861515353213,-0.00043347226707401537,0.003942733173471201
block2_mlp_input/point_numerator,FCC,0,4,excess_p1,10,0.06338920121684209,0.04700686277317135,0.08068029772620006
block2_mlp_input/point_numerator,FCC,0,4,excess_p2,10,0.00839073979847577,0.0034879848244010934,0.01379990297586
block2_mlp_input/point_numerator,FCC,12,18,p1,10,0.027752860911757687,0.0018767043461417824,0.05363017900511193
block2_mlp_input/point_numerator,FCC,12,18,p2,10,0.0029997926405827538,-0.01356995306299823,0.01907990472275136
block2_mlp_input/point_numerator,FCC,12,18,shuffle_p1,10,-0.000969172325048333,-0.007552459855304991,0.005614442808837976
block2_mlp_input/point_numerator,FCC,12,18,shuffle_p2,10,0.0023692688064752927,0.0005685323899890671,0.00416879785475985
