task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms
structure,linear,plus_gatr,970,500.0,0.05,w6,82,0.014150418932768737,0.10562520457987064
structure,linear,plus_gatr,970,500.0,0.05,qbar6,82,0.020392046505426878,0.07958244387716755
structure,linear,plus_gatr,970,500.0,0.05,q6_coherence,82,0.017892801770989022,0.04325246021223588
structure,linear,plus_gatr,970,500.0,0.05,bond_order,82,0.06244146510095906,0.24863947449927762
structure,linear,plus_gatr,970,500.0,0.05,angular_arrangement,82,0.18548823156101368,0.4564394598621464
structure,linear,plus_gatr,971,500.0,0.05,q4,16,0.474379494615483,0.6995239887906375
structure,linear,plus_gatr,971,500.0,0.05,q6,16,0.07088677594521073,0.19126547100619057
structure,linear,plus_gatr,971,500.0,0.05,w4,16,0.501336786707773,0.7208948353117678
structure,linear,plus_gatr,971,500.0,0.05,w6,16,0.02512419137260856,0.1406353350802877
structure,linear,plus_gatr,971,500.0,0.05,qbar6,16,0.05052638240239406,0.13026485036415222
structure,linear,plus_gatr,971,500.0,0.05,q6_coherence,16,0.04179330931799761,0.08282895095921848
structure,linear,plus_gatr,971,500.0,0.05,bond_order,16,0.19400782339357783,0.4260699314084698
structure,linear,plus_gatr,971,500.0,0.05,angular_arrangement,16,0.1972946610159303,0.4772211851500516
structure,linear,plus_gatr,1000,510.0,0.05,q4,2,0.03693791629514116,0.18959328285465324
structure,linear,plus_gatr,1000,510.0,0.05,q6,2,0.023907844325170433,0.18444600397720076
structure,linear,plus_gatr,1000,510.0,0.05,w4,2,0.048348007561265595,0.18940047086597553
structure,linear,plus_gatr,1000,510.0,0.05,w6,2,0.04770297572047485,0.1854566227772121
structure,linear,plus_gatr,1000,510.0,0.05,qbar6,2,0.015850511078867487,0.05976879124222398
structure,linear,plus_gatr,1000,510.0,0.05,q6_coherence,2,0.005011165816925605,0.02829881516315293
structure,linear,plus_gatr,1000,510.0,0.05,bond_order,2,0.029626403466307526,0.15524484421344417
structure,linear,plus_gatr,1000,510.0,0.05,angular_arrangement,2,0.1808522907644513,0.4681339093935752
structure,linear,plus_gatr,1001,510.0,0.05,q4,27,0.31761316604379464,0.5806120321533584
structure,linear,plus_gatr,1001,510.0,0.05,q6,27,0.036614517108897626,0.15791416154800664
structure,linear,plus_gatr,1001,510.0,0.05,w4,27,0.4210672655192702,0.632134740607913
structure,linear,plus_gatr,1001,510.0,0.05,w6,27,0.02017616842383325,0.1417871957623332
structure,linear,plus_gatr,1001,510.0,0.05,qbar6,27,0.04802110550912588,0.09907650604183864
structure,linear,plus_gatr,1001,510.0,0.05,q6_coherence,27,0.03888807664564854,0.06835355034916336
structure,linear,plus_gatr,1001,510.0,0.05,bond_order,27,0.14706338320842838,0.3642877789511647
structure,linear,plus_gatr,1001,510.0,0.05,angular_arrangement,27,0.27926211342458146,0.5148658056162762
structure,linear,plus_gatr,1009,520.0,0.05,q4,14,0.067725642346929,0.2113813404481155
structure,linear,plus_gatr,1009,520.0,0.05,q6,14,0.03247305638511833,0.1575887899811701
structure,linear,plus_gatr,1009,520.0,0.05,w4,14,0.053884241043385114,0.21643950211051974
structure,linear,plus_gatr,1009,520.0,0.05,w6,14,0.012024005502286494,0.09891221474462229
structure,linear,plus_gatr,1009,520.0,0.05,qbar6,14,0.019045035588423024,0.08945530424463699
structure,linear,plus_gatr,1009,520.0,0.05,q6_coherence,14,0.011732921846447263,0.05055296745715174
structure,linear,plus_gatr,1009,520.0,0.05,bond_order,14,0.032814150452098206,0.15094360762280937
structure,linear,plus_gatr,1009,520.0,0.05,angular_arrangement,14,0.19418223870583642,0.45369065818224485
structure,linear,plus_gatr,911,400.0,0.1,q4,13431,1.0688206085982719,1.0266270699159583
structure,linear,plus_gatr,911,400.0,0.1,q6,13431,0.2117829171159045,0.4510847212905268
structure,linear,plus_gatr,911,400.0,0.1,w4,13431,1.417306557380668,1.1788873541785532
