task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms,discordant,concordance
structure,linear,plus_radial_duplicate,970,500.0,0.1,bond_order,156,0.18509669948316404,0.39905565645750707,,
structure,linear,plus_radial_duplicate,970,500.0,0.1,angular_arrangement,156,0.36617140405733817,0.7414295025787065,,
structure,linear,plus_radial_duplicate,971,500.0,0.1,q4,142,0.5088170262497624,0.6561699949959883,,
structure,linear,plus_radial_duplicate,971,500.0,0.1,q6,142,0.18459262726277303,0.428707105312773,,
structure,linear,plus_radial_duplicate,971,500.0,0.1,w4,142,0.4823826991196589,0.7058237690180038,,
structure,linear,plus_radial_duplicate,971,500.0,0.1,w6,142,0.4400556740313001,0.6486561218081057,,
structure,linear,plus_radial_duplicate,971,500.0,0.1,qbar6,142,0.14648532571217576,0.3345009800219259,,
structure,linear,plus_radial_duplicate,971,500.0,0.1,q6_coherence,142,0.1555168166625707,0.3353274547235976,,
structure,linear,plus_radial_duplicate,971,500.0,0.1,bond_order,142,0.31964169483970684,0.541237195272036,,
structure,linear,plus_radial_duplicate,971,500.0,0.1,angular_arrangement,142,0.47294195479788326,0.8220813036374066,,
structure,linear,plus_radial_duplicate,1000,510.0,0.1,q4,33,1.728422238374923,1.2447935951461606,,
structure,linear,plus_radial_duplicate,1000,510.0,0.1,q6,33,0.7405759153558974,0.8570341052940958,,
structure,linear,plus_radial_duplicate,1000,510.0,0.1,w4,33,1.2218279847720261,1.0437125453475344,,
structure,linear,plus_radial_duplicate,1000,510.0,0.1,w6,33,3.71005542680323,1.8846070503100016,,
structure,linear,plus_radial_duplicate,1000,510.0,0.1,qbar6,33,0.1323890625868218,0.3222112522060935,,
structure,linear,plus_radial_duplicate,1000,510.0,0.1,q6_coherence,33,0.21756291347475615,0.46006374940638883,,
structure,linear,plus_radial_duplicate,1000,510.0,0.1,bond_order,33,1.2918055902279428,1.098527568165241,,
structure,linear,plus_radial_duplicate,1000,510.0,0.1,angular_arrangement,33,1.1775884968636823,1.1509391979611254,,
structure,linear,plus_radial_duplicate,1001,510.0,0.1,q4,97,1.2993267724685136,1.160572976042111,,
structure,linear,plus_radial_duplicate,1001,510.0,0.1,q6,97,0.21006050581126814,0.4805482371753739,,
structure,linear,plus_radial_duplicate,1001,510.0,0.1,w4,97,1.846659626882136,1.386141296438495,,
structure,linear,plus_radial_duplicate,1001,510.0,0.1,w6,97,0.7973949332489866,0.878608502553682,,
structure,linear,plus_radial_duplicate,1001,510.0,0.1,qbar6,97,0.1424455484808379,0.40308803275389254,,
structure,linear,plus_radial_duplicate,1001,510.0,0.1,q6_coherence,97,0.1305381466247022,0.35582213333112767,,
structure,linear,plus_radial_duplicate,1001,510.0,0.1,bond_order,97,0.7377375889194074,0.8718071449715944,,
structure,linear,plus_radial_duplicate,1001,510.0,0.1,angular_arrangement,97,0.6172499321211089,0.8868320474094303,,
structure,linear,plus_radial_duplicate,881,520.0,0.1,q4,99,1.0357973519870032,0.9877981222786641,,
structure,linear,plus_radial_duplicate,881,520.0,0.1,q6,99,0.3185614136502314,0.5336228564487344,,
structure,linear,plus_radial_duplicate,881,520.0,0.1,w4,99,0.728213493374014,0.8456158960370362,,
structure,linear,plus_radial_duplicate,881,520.0,0.1,w6,99,1.1050344889626138,1.0359049643447915,,
structure,linear,plus_radial_duplicate,881,520.0,0.1,qbar6,99,0.13083155575731642,0.29643283225559547,,
structure,linear,plus_radial_duplicate,881,520.0,0.1,q6_coherence,99,0.2186411268929248,0.40176555728327495,,
structure,linear,plus_radial_duplicate,881,520.0,0.1,bond_order,99,0.5895132384373506,0.7413896646551302,,
structure,linear,plus_radial_duplicate,881,520.0,0.1,angular_arrangement,99,0.5729433952047961,0.8551680861071987,,
structure,linear,plus_radial_duplicate,1009,520.0,0.1,q4,160,1.6432128786419906,1.281270713981003,,
