task,family,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,nonlinear,angular_arrangement,radial_control,plus_soap,10,32040,43.652041076698644,40.327024494981565,46.46324817770605,0.42115166375388685,0.23731036649684042
structure,nonlinear,angular_arrangement,radial_control,plus_tda,10,32040,9.685885746209665,5.838002769906659,12.669318015626684,0.42115166375388685,0.38035939478442427
structure,nonlinear,angular_arrangement,plus_radial_duplicate,plus_gatr,10,32040,0.000995089343724942,-0.015144708750973734,0.015070816808837595,0.42226807892007,0.42226387697541473
structure,nonlinear,angular_arrangement,plus_radial_duplicate,plus_angular_delta,10,32040,0.4208233367560599,-0.3657041890686469,1.253001678403291,0.42226807892007,0.42049107630030286
future,linear,crystallize_24ps,radial,radial_control,10,17674,-0.08406268581553356,-0.42908838884528844,0.31057834456491573,0.0541468877731768,0.05419240510132445
future,linear,crystallize_24ps,radial_control,plus_radial_duplicate,10,17674,-0.787024863376673,-2.0747536865966287,0.21354538119012778,0.05419240510132445,0.05461891280353368
future,linear,crystallize_24ps,radial_control,plus_gatr,10,17674,-0.786199053454828,-2.0740916906478866,0.21386122734678992,0.05419240510132445,0.05461846527727547
future,linear,crystallize_24ps,radial_control,plus_angular_delta,10,17674,-0.9875639744115094,-2.383798024666395,0.08625493381493321,0.05419240510132445,0.05472758977097227
future,linear,crystallize_24ps,radial_control,plus_mace,10,17674,0.4282283528825759,-0.020624447188694044,1.0561029240477082,0.05419240510132445,0.053960337857571594
future,linear,crystallize_24ps,radial_control,plus_soap,10,17674,-0.6039851082042968,-1.6931179725049539,0.26422124971455796,0.05419240510132445,0.05451971915791419
future,linear,crystallize_24ps,radial_control,plus_tda,10,17674,-0.052995222519980345,-0.21418440633604874,0.14585854554197697,0.05419240510132445,0.05422112448699683
future,linear,crystallize_24ps,radial_control,current_order,10,17674,-1.2432803645664903,-3.4829428074340862,0.5887147504256229,0.05419240510132445,0.05486616863303555
future,linear,crystallize_24ps,plus_radial_duplicate,plus_gatr,10,17674,0.0008193613443396863,7.860591031416675e-05,0.0015680915987248412,0.05461891280353368,0.05461846527727547
future,linear,crystallize_24ps,plus_radial_duplicate,plus_angular_delta,10,17674,-0.19897314292853796,-0.377540379231478,-0.0340890581204345,0.05461891280353368,0.05472758977097227
future,linear,crystallize_24ps,current_order,current_order_radial_duplicate,10,17674,0.33185493180722947,-0.06356303309649203,0.8164989544091283,0.05486616863303555,0.05468409254653315
