arm,representation,readout,metric,estimate,ci95_low,ci95_high,valid_draws,selected_step
D-physical-distance,exported,mlp,average_precision,0.26677821266567014,0.10656415254357056,0.4595190804278209,2000,128
D-physical-distance,exported,mlp,brier,0.02907143913721396,0.021149573646757583,0.03769256645160345,2000,128
D-physical-distance,exported,mlp,log_loss,0.1445044915915266,0.09001545308995662,0.20609609120269265,2000,128
D-physical-distance,exported,mlp,nll,0.21304364424353708,0.1393136489196309,0.2901977152877979,2000,128
D-physical-distance,initial_exported,linear,average_precision,0.11485255602560901,0.051742398746602726,0.24610468988343015,2000,256
D-physical-distance,initial_exported,linear,brier,0.0349417124685552,0.028320747135145177,0.04225799738586251,2000,256
D-physical-distance,initial_exported,linear,log_loss,0.14595996601679878,0.11998157682242432,0.17394616346877587,2000,256
D-physical-distance,initial_exported,linear,nll,0.19307263751311826,0.15371008226449775,0.2369030112958025,2000,256
D-physical-distance,initial_exported,mlp,average_precision,0.03247908468153893,0.022847905242306284,0.04274128323757477,2000,0
D-physical-distance,initial_exported,mlp,brier,0.03156406197200376,0.022786314339806234,0.04091691326552722,2000,0
D-physical-distance,initial_exported,mlp,log_loss,0.14507099669010717,0.11549051111017232,0.17658954728098178,2000,0
D-physical-distance,initial_exported,mlp,nll,0.19559800980094455,0.15256114049545622,0.24221127900838965,2000,0
