variant,readout,population,method,metric,seeds,value,ci95_low,ci95_high,sources
D,linear,low_order,encoder,present/block_mean,1,0.3685581416037737,0.3120892186493924,0.42444143126828265,17
D,linear,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,0.9870408131718237,0.9278358636079863,1.0463759715362166,16
D,linear,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5949024581313864,0.8383592754310253,17
D,linear,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5736475814316495,0.8055268952860406,17
D,linear,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.5998859739351068,0.8552327946883024,17
D,nonlinear,all,encoder,future/0.75ps/block_mean,1,0.4156041194788284,0.3754994732322586,0.46006954512144954,30
D,nonlinear,all,encoder,future/3ps/block_mean,1,0.44904222838166685,0.40574608816196106,0.4943319774367329,30
D,nonlinear,all,encoder,future/9ps/block_mean,1,0.4452705038918389,0.3984070660479161,0.49854345515577336,30
D,nonlinear,all,encoder,present/block_mean,1,0.3455779829166002,0.31011414282334354,0.3818963518759443,30
D,nonlinear,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8194269560220566,0.7387869909084785,0.9051563480585512,30
D,nonlinear,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.5699896683988886,0.7363005958588069,30
D,nonlinear,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6258407957073197,0.7634845775208021,30
D,nonlinear,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.6413203038727967,0.8105322446474907,30
D,nonlinear,low_order,encoder,future/0.75ps/block_mean,1,0.4527551188480621,0.3716029414779269,0.5341388069020182,17
D,nonlinear,low_order,encoder,future/3ps/block_mean,1,0.44836453465270065,0.3907619395457646,0.5109990431068866,17
D,nonlinear,low_order,encoder,future/9ps/block_mean,1,0.4042852263276776,0.33790404664754287,0.4781119133674484,17
D,nonlinear,low_order,encoder,present/block_mean,1,0.36360671082694157,0.3092446029551474,0.41655445117138185,17
D,nonlinear,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,0.9870408131718237,0.9279580658554595,1.045932155444787,16
