method,source,temperature_K,lag_ps,displacement2
mace,938,450.0,192.0,0.5462641780678348
mace,942,450.0,0.75,0.40680099065979736
mace,942,450.0,1.5,0.4225363537573553
mace,942,450.0,3.0,0.45286021351805533
mace,942,450.0,6.0,0.46893250810702464
mace,942,450.0,12.0,0.5184505894430724
mace,942,450.0,24.0,0.5412758697409452
mace,942,450.0,48.0,0.5917576404410247
mace,942,450.0,96.0,0.6493418102923552
mace,942,450.0,192.0,0.7964238240552232
mace,970,500.0,0.75,0.3837538214385543
mace,970,500.0,1.5,0.41086461370651073
mace,970,500.0,3.0,0.4164857163630962
mace,970,500.0,6.0,0.43653738200122894
mace,970,500.0,12.0,0.4548242586952184
mace,970,500.0,24.0,0.4659181941131917
mace,970,500.0,48.0,0.4783315544381368
mace,970,500.0,96.0,0.5301302793814255
mace,970,500.0,192.0,0.632441849009042
mace,971,500.0,0.75,0.5172826872443489
mace,971,500.0,1.5,0.5478312496214944
mace,971,500.0,3.0,0.5798395560331928
mace,971,500.0,6.0,0.6043089220769242
mace,971,500.0,12.0,0.6558112489031002
mace,971,500.0,24.0,0.6921900677373315
mace,971,500.0,48.0,0.7645139447983308
mace,971,500.0,96.0,0.7709574311925839
mace,971,500.0,192.0,0.8276415018210898
mace,1000,510.0,0.75,0.719698656182502
mace,1000,510.0,1.5,0.7824495552875848
mace,1000,510.0,3.0,0.840277846599589
mace,1000,510.0,6.0,0.8913359316555506
mace,1000,510.0,12.0,0.9353772961341902
mace,1000,510.0,24.0,0.9696342940030523
mace,1000,510.0,48.0,0.986589878633384
mace,1000,510.0,96.0,1.0955308014415732
mace,1000,510.0,192.0,1.1770582267461276
mace,1001,510.0,0.75,0.5749749293664698
mace,1001,510.0,1.5,0.6094447791284933
mace,1001,510.0,3.0,0.6554162479125031
mace,1001,510.0,6.0,0.68264367544342
mace,1001,510.0,12.0,0.7258957694790532
mace,1001,510.0,24.0,0.7281165404848357
mace,1001,510.0,48.0,0.7711312113300473
mace,1001,510.0,96.0,0.7712782790776204
mace,1001,510.0,192.0,0.7998465852901339
mace,881,520.0,0.75,0.7417999010226602
mace,881,520.0,1.5,0.7750573027629548
mace,881,520.0,3.0,0.8597278107589472
mace,881,520.0,6.0,0.8940589876827806
mace,881,520.0,12.0,0.9391290813706492
mace,881,520.0,24.0,0.9391304017988222
mace,881,520.0,48.0,0.9616055474072183
mace,881,520.0,96.0,0.9955907271391334
mace,881,520.0,192.0,1.0895090738257616
mace,1009,520.0,0.75,0.4894721888498502
mace,1009,520.0,1.5,0.520957695148712
mace,1009,520.0,3.0,0.5447713246069782
mace,1009,520.0,6.0,0.5511395207863945
mace,1009,520.0,12.0,0.5601117665330574
mace,1009,520.0,24.0,0.5818318165580549
mace,1009,520.0,48.0,0.614437215979422
mace,1009,520.0,96.0,0.6346387185039315
mace,1009,520.0,192.0,0.6638669611623581
soap,911,400.0,0.75,0.3045996867979829
soap,911,400.0,1.5,0.3090110932234552
soap,911,400.0,3.0,0.32623763772292025
soap,911,400.0,6.0,0.353025881935501
soap,911,400.0,12.0,0.3784884048854781
soap,911,400.0,24.0,0.4414361699921921
soap,911,400.0,48.0,0.538496355996813
soap,911,400.0,96.0,0.6806951736963875
soap,911,400.0,192.0,0.8801631983943645
soap,913,400.0,0.75,0.29315749534952146
soap,913,400.0,1.5,0.3064476301520148
soap,913,400.0,3.0,0.3202038283078906
soap,913,400.0,6.0,0.35015795368101665
soap,913,400.0,12.0,0.3855526509105149
soap,913,400.0,24.0,0.44554484517267523
soap,913,400.0,48.0,0.5251789886502498
soap,913,400.0,96.0,0.6996054014540939
soap,913,400.0,192.0,0.828016292257545
soap,938,450.0,0.75,0.2862673166054086
soap,938,450.0,1.5,0.29503330113997556
soap,938,450.0,3.0,0.31717161283657463
soap,938,450.0,6.0,0.3360941053865472
soap,938,450.0,12.0,0.34619921767231054
soap,938,450.0,24.0,0.37165643951853033
soap,938,450.0,48.0,0.40582271347620075
soap,938,450.0,96.0,0.49595913350941095
soap,938,450.0,192.0,0.6714254804812486
soap,942,450.0,0.75,0.2944850288479863
soap,942,450.0,1.5,0.3109791205326324
soap,942,450.0,3.0,0.32974957684892975
soap,942,450.0,6.0,0.3544813013974488
soap,942,450.0,12.0,0.39647656359638495
soap,942,450.0,24.0,0.4499379244298285
soap,942,450.0,48.0,0.5222714357816872
soap,942,450.0,96.0,0.626696312077398
soap,942,450.0,192.0,0.8524756842421898
soap,970,500.0,0.75,0.2993497682953946
soap,970,500.0,1.5,0.31029837569464486
soap,970,500.0,3.0,0.3247557483790677
soap,970,500.0,6.0,0.33592778480540814
soap,970,500.0,12.0,0.3553855905311743
soap,970,500.0,24.0,0.3825322836915951
soap,970,500.0,48.0,0.43781113551083767
soap,970,500.0,96.0,0.558249666407837
soap,970,500.0,192.0,0.7827449858081471
soap,971,500.0,0.75,0.36544198477999806
soap,971,500.0,1.5,0.38724690161380876
soap,971,500.0,3.0,0.4078709889747876
soap,971,500.0,6.0,0.43563126446244355
soap,971,500.0,12.0,0.46653622922033755
soap,971,500.0,24.0,0.5131984409660069
soap,971,500.0,48.0,0.5613252384927082
soap,971,500.0,96.0,0.6509628822682086
soap,971,500.0,192.0,0.8939716935792285
soap,1000,510.0,0.75,0.42233216768015114
soap,1000,510.0,1.5,0.45137613965996415
soap,1000,510.0,3.0,0.4924503223485362
soap,1000,510.0,6.0,0.5222751457968074
soap,1000,510.0,12.0,0.5419041369937821
soap,1000,510.0,24.0,0.5681649154364055
soap,1000,510.0,48.0,0.6210024093042728
soap,1000,510.0,96.0,0.7400185329730532
soap,1000,510.0,192.0,0.8796133374962851
soap,1001,510.0,0.75,0.3905077460942194
soap,1001,510.0,1.5,0.4171684202814031
soap,1001,510.0,3.0,0.446783891428486
soap,1001,510.0,6.0,0.4659916640725929
soap,1001,510.0,12.0,0.4862386351938521
soap,1001,510.0,24.0,0.5197784998225462
soap,1001,510.0,48.0,0.5671505223384848
soap,1001,510.0,96.0,0.6343286755432991
soap,1001,510.0,192.0,0.8051241654477856
soap,881,520.0,0.75,0.4431817930408873
soap,881,520.0,1.5,0.48028257221876297
soap,881,520.0,3.0,0.5058667376253512
soap,881,520.0,6.0,0.5366354318931248
soap,881,520.0,12.0,0.5485272540912383
soap,881,520.0,24.0,0.5659034734350428
soap,881,520.0,48.0,0.6333621198737638
soap,881,520.0,96.0,0.7523687477360523
soap,881,520.0,192.0,1.0070431448133172
soap,1009,520.0,0.75,0.3418204103419216
soap,1009,520.0,1.5,0.3620673578552252
soap,1009,520.0,3.0,0.37718741712271103
soap,1009,520.0,6.0,0.3854124833707139
soap,1009,520.0,12.0,0.4050461327609787
soap,1009,520.0,24.0,0.449543410089635
