task,family,method,source,temperature_K,target,n,loss,constant_loss,r2_vs_training_mean,positive,prevalence,auroc,average_precision
future,nonlinear,delta_gatr,942,450.0,crystallize_48ps,1376,0.15203673870771298,0.1524881015189471,0.002959987085799143,249.0,0.18095930232558138,0.6630604048848454,0.3304482814343887
future,nonlinear,delta_gatr,942,450.0,crystallize_96ps,1376,0.24728110351020183,0.2472074687875346,-0.00029786609210624704,505.0,0.36700581395348836,0.5462686567164179,0.4020049634140591
future,nonlinear,delta_gatr,970,500.0,crystallize_24ps,1271,0.06894558133790701,0.06742680241143559,-0.022524854689147222,92.0,0.07238394964594808,0.4102869048936092,0.05671372130548022
future,nonlinear,delta_gatr,970,500.0,crystallize_48ps,1271,0.13380068370908807,0.12684641595343982,-0.05482431413908362,188.0,0.14791502753737215,0.41970197049173885,0.11706686786167989
future,nonlinear,delta_gatr,970,500.0,crystallize_96ps,1271,0.2365633887415672,0.21173293711112937,-0.11727250360394059,380.0,0.2989771833202203,0.327237285132022,0.21715246099322894
future,nonlinear,delta_gatr,971,500.0,crystallize_24ps,1591,0.050416601909732794,0.05059007896515171,0.003429072635731889,85.0,0.05342551854179761,0.6302866963518474,0.07137210185444247
future,nonlinear,delta_gatr,971,500.0,crystallize_48ps,1591,0.10074953687040876,0.10091395332459938,0.0016292737403890145,181.0,0.11376492771841609,0.5833000274283923,0.15638371527129058
future,nonlinear,delta_gatr,971,500.0,crystallize_96ps,1591,0.1923733521615275,0.19251189056777918,0.0007196355811740496,414.0,0.26021370207416716,0.5491115954342286,0.29716768780478514
future,nonlinear,delta_gatr,1000,510.0,crystallize_24ps,2545,0.012500837372725063,0.011136889258986949,-0.12247119298932341,21.0,0.008251473477406679,0.7749603803486529,0.02470980424598517
future,nonlinear,delta_gatr,1000,510.0,crystallize_48ps,2545,0.05011292032395747,0.03725500929469019,-0.3451324069619779,68.0,0.026719056974459726,0.6666745826307915,0.037911324830921446
future,nonlinear,delta_gatr,1000,510.0,crystallize_96ps,2545,0.19067023485081916,0.11118131144448612,-0.7149486039838864,196.0,0.07701375245579568,0.8060833528813824,0.1711225653700609
future,nonlinear,delta_gatr,1001,510.0,crystallize_24ps,1595,0.053855267353623344,0.05324362618510066,-0.011487594146881053,90.0,0.05642633228840126,0.5556109265411591,0.06733614897428207
future,nonlinear,delta_gatr,1001,510.0,crystallize_48ps,1595,0.09925292035086378,0.09929095255372769,0.00038303794943783664,178.0,0.1115987460815047,0.5373434935335769,0.12289606252210396
future,nonlinear,delta_gatr,1001,510.0,crystallize_96ps,1595,0.16647797765182581,0.16607320023488759,-0.0024373433905393593,326.0,0.2043887147335423,0.44501733165093044,0.18187753811556104
future,nonlinear,delta_gatr,881,520.0,crystallize_24ps,2249,0.05201330424652095,0.05210129061304609,0.0016887559883804748,124.0,0.055135615829257446,0.6624629981024668,0.11718091087058964
future,nonlinear,delta_gatr,881,520.0,crystallize_48ps,2249,0.09960997969356614,0.09962452508155484,0.00014600208108184187,252.0,0.11204979991107158,0.5171368163356145,0.11401165639533388
future,nonlinear,delta_gatr,881,520.0,crystallize_96ps,2249,0.1761222734256013,0.17607872841841457,-0.0002473041893127359,508.0,0.22587816807469988,0.5108635185679331,0.23841828764692674
future,nonlinear,delta_gatr,1009,520.0,crystallize_24ps,1123,0.07402848813797268,0.07356346073643326,-0.006321445414395832,89.0,0.0792520035618878,0.5426509899376264,0.0823397079260704
future,nonlinear,delta_gatr,1009,520.0,crystallize_48ps,1123,0.14636676060102122,0.14744103705103112,0.007286142796446016,196.0,0.1745325022261799,0.5721660832617836,0.21744588881574992
future,nonlinear,delta_gatr,1009,520.0,crystallize_96ps,1123,0.2526527329104485,0.25286862157979234,0.0008537582401292321,424.0,0.377560106856634,0.5645835020379518,0.42402449961863486
future,nonlinear,duplicate_gatr,911,400.0,crystallize_24ps,2032,0.04851822197043374,0.04860705854318692,0.0018276475766220157,104.0,0.051181102362204724,0.6899337695499521,0.19815495357093346
future,nonlinear,duplicate_gatr,911,400.0,crystallize_48ps,2032,0.08968676781173321,0.08980898304092247,0.0013608352422114223,201.0,0.09891732283464567,0.5363950319402442,0.12042711178832187
future,nonlinear,duplicate_gatr,911,400.0,crystallize_96ps,2032,0.16648340124472483,0.1662457060666833,-0.001429782360491183,416.0,0.2047244094488189,0.40092613528179744,0.171507619429617
future,nonlinear,duplicate_gatr,913,400.0,crystallize_24ps,2616,0.032807578979604256,0.033525222062659614,0.02140606501320297,89.0,0.034021406727828746,0.7222980573847392,0.10704767394402537
future,nonlinear,duplicate_gatr,913,400.0,crystallize_48ps,2616,0.07290537797088226,0.07572159545765096,0.03719173466628467,209.0,0.07989296636085627,0.7149303367570264,0.22140579742071068
future,nonlinear,duplicate_gatr,913,400.0,crystallize_96ps,2616,0.15385192574813464,0.15396244938001685,0.0007178609610802855,465.0,0.17775229357798164,0.5385122198727275,0.22269325636300472
future,nonlinear,duplicate_gatr,938,450.0,crystallize_24ps,1276,0.06548081760815222,0.06647732037606689,0.014990116362654016,91.0,0.0713166144200627,0.6570130291649279,0.10147048900802097
future,nonlinear,duplicate_gatr,938,450.0,crystallize_48ps,1276,0.1449646326572363,0.1451897728045892,0.001550661200192871,219.0,0.17163009404388715,0.5535654886103947,0.20808272022295124
future,nonlinear,duplicate_gatr,938,450.0,crystallize_96ps,1276,0.25018425573959163,0.25002854803018887,-0.0006227597233574578,475.0,0.3722570532915361,0.487438070832512,0.37199475034606444
future,nonlinear,duplicate_gatr,942,450.0,crystallize_24ps,1376,0.08129010383259988,0.08138011641022687,0.0011060758032496176,121.0,0.08793604651162791,0.5551414177998748,0.0939388321623991
future,nonlinear,duplicate_gatr,942,450.0,crystallize_48ps,1376,0.1519612939666868,0.1524881015189471,0.0034547453015200125,249.0,0.18095930232558138,0.6579646001931416,0.3053724305278489
future,nonlinear,duplicate_gatr,942,450.0,crystallize_96ps,1376,0.24712097281037348,0.2472074687875346,0.0003498922487470413,505.0,0.36700581395348836,0.5705584794989258,0.4277590465195949
future,nonlinear,duplicate_gatr,970,500.0,crystallize_24ps,1271,0.06890433941908461,0.06742680241143559,-0.021913200015524215,92.0,0.07238394964594808,0.4342202308514953,0.05919976726652333
