left,right,readout,population,metric,seeds,value,ci95_low,ci95_high,sources
state_history,state_constant,A,low_order,future/3ps/instantaneous_TDA_H0,3,-0.0011100560134532404,-0.0022436754814549984,8.036834279111764e-05,17
state_history,state_constant,A,low_order,future/3ps/instantaneous_TDA_H1,3,0.00021236813535877302,-0.0006665400028520939,0.0011664306233618764,17
state_history,state_constant,A,low_order,future/3ps/instantaneous_TDA_H2,3,0.00032999892445171583,-0.0005102588192504996,0.001117522671234374,17
state_history,state_constant,A,low_order,future/3ps/motion_even,3,-0.026293590372683955,-0.048534277651239834,-0.01169711439048543,17
state_history,state_constant,A,low_order,future/3ps/motion_odd,3,-0.001598666695987477,-0.003999478442996154,0.0008156519310147147,17
state_history,state_constant,A,low_order,future/9ps/block_mean,3,-0.005178437702162984,-0.006826236548839641,-0.0038006345788625636,17
state_history,state_constant,A,low_order,future/9ps/bond_order,3,-0.0017336510560091803,-0.004271505685413585,0.0007309544466289818,17
state_history,state_constant,A,low_order,future/9ps/instantaneous_TDA_H0,3,-0.0011134211558337305,-0.0021749534507227294,0.00013391189277171884,17
state_history,state_constant,A,low_order,future/9ps/instantaneous_TDA_H1,3,0.00028665860493977863,-0.000581983528008648,0.0012386556422593544,17
state_history,state_constant,A,low_order,future/9ps/instantaneous_TDA_H2,3,-0.00032374175155864036,-0.001320362211588551,0.0005530763600094645,17
state_history,state_constant,A,low_order,future/9ps/motion_even,3,-0.027164347615896485,-0.035226809993094084,-0.019904303229322625,17
state_history,state_constant,A,low_order,future/9ps/motion_odd,3,-0.001022123238619636,-0.0022765348354975385,0.00035263148008608336,17
state_history,state_constant,A,low_order,path/0.75ps/mean_std_qbar6,3,-0.002676084372854116,-0.0047577235829450336,-0.00083566871037999,17
state_history,state_constant,A,low_order,path/3ps/mean_std_qbar6,3,-0.0026995290947311066,-0.004619404373635702,-0.000688773426957721,17
state_history,state_constant,A,low_order,path/9ps/mean_std_qbar6,3,-0.0027821603705923932,-0.004692477683134961,-0.000920559295142691,17
state_history,state_constant,B,all,delta/0.75ps/block_mean,3,0.00015874987951031762,-0.001574987886404549,0.0019237733765125836,30
