model,split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95,method,block,mse
linear-packet_H0,test,48,44385,30,0.18840006848320312,0.4865105872693183,0.1569827789836317,0.28454501466803606,0.4287801682949066,0.22412602380363045,0.10537967319220734,0.3305273150570221,"[0.4413539149719456, 0.5301361185604969]","[0.1378447319881386, 0.17576394116592695]",,,
linear-packet_H0,selection,96,20881,15,0.3646435880571329,0.6183163940763942,0.21596022418382915,0.5234272688037713,0.6891455054283142,0.22160654972417412,0.09653152922807844,0.5685084167137872,,,,,
linear-packet_H0,calibration,96,16584,15,0.5218947175551638,0.6288106271855384,0.22020645054575344,0.6765517694872548,0.6891455054283142,0.15727559473107816,0.049968018294189766,0.7745618011419821,,,,,
linear-packet_H0,test,96,44385,30,0.36752480433082857,0.6902703502756479,0.2492165711726596,0.4499649419338869,0.6891455054283142,0.19599330189196912,0.11881697681872315,0.489413080836809,"[0.6457802887614551, 0.7309957139086085]","[0.22819120400641635, 0.26807537264714065]",,,
mlp-packet_H0,selection,0.75,20881,15,0.001717366617496936,0.009556584793640547,0.0017299429945956135,0.06370886068742147,0.011870748363435268,0.7911191178510151,0.05872614991412919,0.022650089808297733,,,,,
mlp-packet_H0,calibration,0.75,16584,15,0.00469864808109772,0.018231673608359086,0.004322899086495104,0.14521655074269169,0.011870748363435268,0.886030448281666,0.049919717369124456,0.07731246278146871,,,,,
mlp-packet_H0,test,0.75,44385,30,0.002461127212794187,0.010963856088490011,0.0022638848102428566,0.14273085544833383,0.011870748363435268,0.8387484105036984,0.04480376027860403,0.044148106734741406,"[0.0080520617401306, 0.014124430641197921]","[0.0015018876357141085, 0.003070377669068187]",,,
mlp-packet_H0,selection,3,20881,15,0.009324540953417646,0.037452007080880464,0.008833739741922069,0.17221929025396707,0.03712359815835953,0.7527201463147637,0.0633886851932322,0.10053184317228499,,,,,
mlp-packet_H0,calibration,3,16584,15,0.014324638924385276,0.04994026014863422,0.012764554955666675,0.20941939547248192,0.03712359815835953,0.7308452380909121,0.049849691229145926,0.1756420717715273,,,,,
mlp-packet_H0,test,3,44385,30,0.00884508151496356,0.034528096703365437,0.007971647781025467,0.19400138452212312,0.03712359815835953,0.6985702181101052,0.04905558811862292,0.11275261132983792,"[0.02822315712764648, 0.041874659690675525]","[0.006224484190363343, 0.010021885861830594]",,,
mlp-packet_H0,selection,9,20881,15,0.03277230679889552,0.11472317084547974,0.02900395379350863,0.2343088262811659,0.10415945202112198,0.5401599267635363,0.07196165036663821,0.2027623576155152,,,,,
mlp-packet_H0,calibration,9,16584,15,0.04785316738960783,0.1471015012707394,0.03894462966007952,0.3025370427745555,0.10415945202112198,0.5030281102568523,0.049967114371776575,0.33597100106789207,,,,,
mlp-packet_H0,test,9,44385,30,0.03124302427652125,0.1086119530866979,0.026847322657049043,0.24987478763931056,0.10415945202112198,0.5084436569267373,0.05751575006471154,0.22184926785432696,"[0.08955944763612043, 0.12938021617060522]","[0.02098999706710783, 0.03332912774906373]",,,
mlp-packet_H0,selection,24,20881,15,0.09697707537936248,0.26911886398902407,0.07668580349447354,0.3320184131214167,0.23094351589679718,0.37703653514914026,0.0791267172406627,0.33850091247831204,,,,,
mlp-packet_H0,calibration,24,16584,15,0.13707065020025577,0.3446208540206414,0.10352765812220834,0.37620442777797414,0.23094351589679718,0.2918368421001849,0.04994506810483327,0.4813673294105116,,,,,
mlp-packet_H0,test,24,44385,30,0.09117904843080059,0.27490308703138,0.07699932754962022,0.27036574446644956,0.23094351589679718,0.3391802858676091,0.0846251946398259,0.28679050211511004,"[0.2373667609161042, 0.31593945710972743]","[0.06300810915137914, 0.09184724280227079]",,,
mlp-packet_H0,selection,48,20881,15,0.196435182435432,0.4284657809129062,0.13627636742804236,0.44861325171483724,0.4064560830593109,0.3127509282637727,0.08345567855427218,0.4781055320726225,,,,,
mlp-packet_H0,calibration,48,16584,15,0.278634105156337,0.5302568372778116,0.17900236188057198,0.4885814065143941,0.4064560830593109,0.20246280869698174,0.049934333976936286,0.610306406981669,,,,,
mlp-packet_H0,test,48,44385,30,0.18840006848320312,0.4649310414581484,0.1503833285839998,0.32465157786563237,0.4064560830593109,0.266890315316399,0.11541039546757949,0.3493047946053067,"[0.4186093448951061, 0.5140563682467484]","[0.13062393884292417, 0.17070107958915803]",,,
mlp-packet_H0,selection,96,20881,15,0.3646435880571329,0.5892705706570508,0.20463662292226312,0.5980160460465842,0.7107957601547241,0.22233160327588491,0.06937817886751774,0.6477883772338007,,,,,
mlp-packet_H0,calibration,96,16584,15,0.5218947175551638,0.6073884924375188,0.21367524300052562,0.6935327586982373,0.7107957601547241,0.1501293475338688,0.04989051792248947,0.7666160591289539,,,,,
mlp-packet_H0,test,96,44385,30,0.36752480433082857,0.670921228084618,0.24270305617462826,0.4707164566383166,0.7107957601547241,0.1560397748112852,0.08500581112155348,0.51612968350883,"[0.6266267509320693, 0.7102534121804341]","[0.2226039110290044, 0.26067091546746307]",,,
linear-packet_H3,selection,0.75,20881,15,0.001717366617496936,0.007966257852942535,0.0014357926448402673,0.3005414990065703,0.008316447027027607,0.7546718075749832,0.0460346489686948,0.027428639582994543,,,,,
linear-packet_H3,calibration,0.75,16584,15,0.00469864808109772,0.017347913518727578,0.003929283031276269,0.3022516427525974,0.008316447027027607,0.8037972357687349,0.04997872898808551,0.07056640483165699,,,,,
linear-packet_H3,test,0.75,44385,30,0.002461127212794187,0.011057480198097696,0.0022877916180533368,0.15838949234347785,0.008316447027027607,0.7280871457802923,0.04017074269144993,0.04280345811950592,"[0.007889788181317326, 0.014708239870400614]","[0.0015373717051823169, 0.0031335252538023236]",,,
linear-packet_H3,selection,3,20881,15,0.009324540953417646,0.03439361362471278,0.007895897686977722,0.30011431306901665,0.0335935615003109,0.7111931020845275,0.05316112015762781,0.1118362307135662,,,,,
linear-packet_H3,calibration,3,16584,15,0.014324638924385276,0.0484440862654167,0.012003051963348102,0.2892964488873865,0.0335935615003109,0.7299323753869882,0.049933711057260424,0.1752176743761223,,,,,
